data,produto,preço,is_promocao
<<<<<<< HEAD
2026-05-05,Feijão Carioca Tipuá Tp1 1kg,7.99,False
2026-05-05,Feijão Carioca Anchieta 1kg,8.98,False
2026-05-05,Feijão Preto Tipuá Tp1 1kg,5.98,False
2026-05-05,Feijão Carioca Belo Grão Tp1 1kg,5.98,False
2026-05-05,Feijão Carioca Galante Tp1 1kg,12.98,False
2026-05-05,Feijao Carioca Vasconcelos Nobre Tp1 1k,10.98,False
2026-05-05,Feijão Vermelho Tipuá Tp1 1kg,7.98,False
2026-05-05,Feijao Vermelho Anchieta Tp1 1k,7.48,False
2026-05-05,Feijao Preto Anchieta Tp1 1k,5.98,False
2026-05-05,Feijão Preto Galante Tp1 1kg,8.98,False
2026-05-05,Feijão Vermelho Galante Tp1 1kg,12.98,False
2026-05-05,Feijão Carioca Patureba T1 1k,9.98,False
2026-05-05,Feijão Preto Vasconcelos Tp1 1k,6.98,False
2026-05-05,Feijão Jalo Tipuá Tp1 1kg,8.98,False
2026-05-05,Feijão Carioca Farid 1kg,8.58,False
2026-05-05,Feijão Jalo Vasconcelos Tp1 1k,11.98,False
2026-05-05,Arroz Prato Fino 5kg,26.80,False
2026-05-05,Arroz Tipo 1 Vasconcelos 5kg,23.90,False
2026-05-05,Arroz Tipo 1 Patosul Vasconcelos 5kg,17.90,False
2026-05-05,Arroz Sempre Bom Tp1 5kg,19.90,False
2026-05-05,Arroz Camil Tp1 5k,19.90,False
2026-05-05,Arroz Ciagro Tp1 5kg,22.90,False
2026-05-05,Arroz Tipo 1 Beira Rio 5kg,21.90,False
2026-05-05,Arroz Tipo1 Albaruska 5k,27.90,False
2026-05-05,Arroz Prato Fino Parboilizado 5kg,26.80,False
2026-05-05,Arroz Rei Arthur Tp1 5kg,23.98,False
2026-05-05,Arroz Oryza Tp1 5k,21.90,False
2026-05-05,Arroz Streck Tp1 5k,21.90,False
2026-05-05,Arroz Campineiro Tp1 5k,14.80,False
2026-05-05,Arroz Prato Fino Parboilizado Integral 5kg,27.90,False
2026-05-05,Arroz Ciagro Parboilizado Tp1 5kg,22.90,False
2026-05-05,Arroz Vasconcelos Parboilizado 5k,24.90,False
2026-05-05,Arroz Filé 5k,16.90,False
2026-05-05,Óleo de Soja Liza 900ml,7.09,False
2026-05-05,Óleo de Girassol Sinhá 900ml,11.98,False
2026-05-05,Óleo de Milho Sinhá 900ml,13.98,False
2026-05-05,Óleo de Canola Sinhá 900ml,14.98,False
2026-05-05,Óleo de Girassol Liza 900ml,14.98,False
2026-05-05,Óleo de Milho Liza 900ml,17.98,False
2026-05-05,Óleo de Canola Liza 900ml,18.98,False
2026-05-05,Óleo Girassol Soya 900ml,12.98,False
2026-05-05,Óleo de Milho Soya 900ml,16.98,False
2026-05-05,Oleo Milho Mazola 900ml,19.90,False
2026-05-05,Farinha de Trigo Boa Sorte Especial 1kg,4.59,False
2026-05-05,Farinha de Trigo Vilma Especial 1kg,4.98,False
2026-05-05,Farinha de Trigo Anchieta com Fermento 1kg,4.58,False
2026-05-05,Lasanha Perdigao 1kg Bolon,25.90,False
2026-05-05,Far.Trigo Kodilar Int.1k,14.98,False
2026-05-05,Farinha de Trigo Farina Especial 1kg,3.59,False
2026-05-05,Farinha de Trigo Anchieta Especial 1kg,3.38,False
2026-05-05,Farinha Trigo Famiglia Venturelli Semolina 1k,11.99,False
2026-05-05,Manteiga Ita Pt.500g,22.99,False
2026-05-05,Manteiga Farid 500g com Sal,17.98,False
2026-05-05,Manteiga P.Alegre 500gr C/Sal,19.98,False
2026-05-05,Manteiga Itambe 500g,27.98,False
2026-05-05,Margarina Claybom Cremosa 500g Manteiga,7.99,False
2026-05-05,Manteiga Cotoches 500g,25.90,False
2026-05-05,Macarrão Nissin Lámen Pao Na Chapa com Manteiga 85g,2.98,False
2026-05-05,Manteiga Ita 200g,12.48,False
2026-05-05,Manteiga Itambe 200g C/Sal,11.98,False
2026-05-05,Manteiga P.Alegre 200g,10.98,False
2026-05-05,Manteiga Itambe Extra 200g C/Sal,11.79,False
2026-05-05,Manteiga Itambe Extra 200g S/Sal,11.79,False
2026-05-05,Manteiga President Tabl.200g C/Sal,12.99,False
2026-05-05,Manteiga Cotoches 200g,11.99,False
2026-05-05,Creme President Ricota Light 200g,8.99,False
2026-05-05,Manteiga Bom Destino de Búfala 200g,17.90,False
2026-05-05,Manteiga de Coco Coco Show 200g,15.90,False
2026-05-05,Creme President Ricota Tradicional 200g,8.99,False
2026-05-05,Manteiga Gran Mestri Lt.200g Z.Lactose,23.97,False
2026-05-05,Manteiga President 200g C/Sal,12.99,False
2026-05-05,Manteiga Farid C/Sal 200g,10.98,False
2026-05-05,Manteiga Cristaulat 200g C/Sal,9.49,False
2026-05-05,Manteiga Novato 200g,14.98,False
2026-05-05,Manteiga Minas Mais 200g,8.98,False
2026-05-05,Manteiga President Zero Lactose C/Sal Tablete 200g,15.99,False
2026-05-05,Requeijão President Queijo Blue 200g,14.98,False
2026-05-05,Requeijão President Queijo Brie 200g,14.98,False
2026-05-05,Manteiga Porto Alegre 200g Zero Lactose,13.99,False
2026-05-05,Manteiga Itambe No Lac 200g,11.99,False
2026-05-05,Manteiga President Tabl.200g S/Sal,12.99,False
2026-05-05,Manteiga Gran Mestri 200g C/Sal,14.99,False
2026-05-05,Manteiga Aviacao Tabl.200g C/Sal,15.90,False
2026-05-05,Margarina Claybom Cremosa com Sal 500g,6.99,False
2026-05-05,Margarina Claybom Cremosa 1k C/Sal,14.99,False
2026-05-05,Margarina Claybom Cremosa 500g Manteiga,7.99,False
2026-05-05,Margarina Doriana Cremosa 500g,7.98,False
2026-05-05,Margarina Claybom Cremosa 250g C/Sal,4.59,False
2026-05-05,Margarina Claybom Cremosa 250g Manteiga,4.39,False
2026-05-05,Margarina Qualy 250g C/Sal Vegetal Colecionável,5.98,False
2026-05-05,Margarina Doriana Cremosa 1k,15.99,False
2026-05-05,Margarina Doriana 250g C/Sal,5.99,False
2026-05-05,Pão Panneves Forma Tradicional 450g,7.98,False
2026-05-05,Pao Seven Boys Forma 450g,7.49,False
